姓名,财富(亿),性别,年龄,出生地,公司,行业,总部,排名,年龄段,省份
周云杰,51.0,先生,63.0,,奥瑞金,包装,北京,1011,61-70岁,北京
孙荫环,50.2,先生,74.0,,亿达,房地产、软件园,辽宁大连,1018,70岁以上,辽宁大连
安治富,50.0,先生,78.0,遂宁,富临,房地产、运输,四川绵阳,1019,70岁以上,四川绵阳
蔡浩,50.0,先生,53.0,,中信博,光伏设备,江苏苏州,1019,51-60岁,江苏苏州
曹建伟,50.0,先生,46.0,,晶盛机电,机电设备,浙江绍兴,1019,41-50岁,浙江绍兴
曹克坚,50.0,先生,62.0,,开山控股,压缩机,浙江衢州,1019,61-70岁,浙江衢州
车冯升,50.0,先生,62.0,山东,四环医药,医药,北京,1019,61-70岁,北京
陈刚,50.0,先生,56.0,,爱旭股份,太阳能电池,上海浦东,1019,51-60岁,上海浦东
陈建造,50.0,未知,,,宝雅,美妆日用品连锁店,台湾台南,1019,,台湾台南
陈茂春,50.0,先生,72.0,,兴华财富,钢铁,河北邯郸,1019,70岁以上,河北邯郸
陈小英,50.0,先生,48.0,杭州,申通快递,物流,上海青浦,1019,41-50岁,上海青浦
陈育新,50.0,先生,74.0,四川,华西希望,畜牧业、教育,四川成都,1019,70岁以上,四川成都
崔维星,50.0,先生,54.0,潍坊,德邦快递,快递,上海青浦,1019,51-60岁,上海青浦
戴立忠,50.0,先生,56.0,北京,圣湘生物,医药制造业,湖南长沙,1019,51-60岁,湖南长沙
戴震,50.0,先生,46.0,白城,能链,充电服务,山东青岛,1019,41-50岁,山东青岛
单建明,50.0,先生,64.0,,美欣达,纺织、房地产、投资,浙江湖州,1019,61-70岁,浙江湖州
丁佐宏,50.0,先生,62.0,南通,月星,房地产、零售、制造,上海普陀,1019,61-70岁,上海普陀
方展城,50.0,先生,,,海天味业,调味品,广东佛山,1019,,广东佛山
冯小华,50.0,先生,68.0,,洋浦南华糖业,制糖业,广西南宁,1019,61-70岁,广西南宁
付胜龙,50.0,先生,62.0,湖南,大汉控股,钢材贸易、房地产,湖南邵阳,1019,61-70岁,湖南邵阳
黄伟常,50.0,先生,73.0,香港,六福,珠宝零售,香港,1019,70岁以上,香港
纪海鹏,50.0,先生,57.0,,龙光地产,房地产,广东深圳,1019,51-60岁,广东深圳
江黎明,50.0,先生,,黄冈,利泰,汽车经销,广东佛山,1019,,广东佛山
蒋锡培,50.0,先生,61.0,无锡,智慧能源,电缆、医药、房地产,江苏无锡,1019,61-70岁,江苏无锡
柯建生,50.0,先生,60.0,,索菲亚,家具,广东广州,1019,61-70岁,广东广州
李俊田,50.0,先生,49.0,,汇川技术,工业自动化产品,广东深圳,1019,41-50岁,广东深圳
李完小,50.0,先生,58.0,,航天环宇,航空设备,湖南长沙,1019,51-60岁,湖南长沙
李志刚,50.0,先生,48.0,,帝尔激光,设备制造,湖北武汉,1019,41-50岁,湖北武汉
林伯实,50.0,先生,79.0,,台玻,建筑玻璃,台湾台北,1019,70岁以上,台湾台北
林鸿明,50.0,未知,,,信骅科技,半导体,台湾新竹,1019,,台湾新竹
林集永,50.0,先生,54.0,惠阳,慕思,床垫,广东东莞,1019,51-60岁,广东东莞
林晓辉,50.0,先生,51.0,,伟禄,投资、房地产,香港,1019,51-60岁,香港
刘国伟,50.0,先生,52.0,,汇川技术,工业自动化产品,广东深圳,1019,51-60岁,广东深圳
刘冀鲁,50.0,先生,77.0,安徽,顺丰,快递,广东深圳,1019,70岁以上,广东深圳
鲁卫东,50.0,先生,59.0,,鄂尔多斯,羊绒、煤电、冶金、房地产,内蒙古鄂尔多斯,1019,51-60岁,内蒙古鄂尔多斯
马飞,50.0,先生,56.0,河源,飞荣达,电子元件,广东深圳,1019,51-60岁,广东深圳
阙伟东,50.0,先生,56.0,,确成股份,化工,江苏无锡,1019,51-60岁,江苏无锡
沈国荣,50.0,先生,,,国电南瑞,电网自动化,江苏南京,1019,,江苏南京
孙洪军,50.0,先生,51.0,铁岭,艾为电子,芯片,上海,1019,51-60岁,上海
孙雁军,50.0,未知,,,飞南资源,金属回收,广东佛山,1019,,广东佛山
陶春风,50.0,先生,57.0,,长鸿高科,高分子材料,浙江宁波,1019,51-60岁,浙江宁波
陶意,50.0,先生,,,波克,游戏,上海,1019,,上海
田刚印,50.0,未知,,江苏盐城,联合飞机,航天,广东深圳,1019,,广东深圳
万永兴,50.0,先生,53.0,,中瑞,煤炭供应链管理、房地产,河南郑州,1019,51-60岁,河南郑州
王兵,50.0,先生,42.0,,十月稻田,食品,北京,1019,41-50岁,北京
王炳坤,50.0,先生,52.0,东莞,慕思,床垫,广东东莞,1019,51-60岁,广东东莞
王春生,50.0,先生,49.0,,安洁科技,消费电子组件,江苏苏州,1019,41-50岁,江苏苏州
王力展,50.0,先生,,,海天味业,调味品,广东佛山,1019,,广东佛山
王念强,50.0,先生,60.0,,比亚迪,汽车、充电电池,广东深圳,1019,61-70岁,广东深圳
王晓申,50.0,先生,56.0,,赣锋锂业,有色金属冶炼加工,江西新余,1019,51-60岁,江西新余
王张兴,50.0,先生,57.0,绍兴,城市地产,房地产、投资,上海浦东,1019,51-60岁,上海浦东
韦锦坤,50.0,先生,71.0,,泛微网络,计算机技术,上海闵行,1019,70岁以上,上海闵行
文剑平,50.0,先生,62.0,湖南,碧水源,污水处理,北京,1019,61-70岁,北京
吴亦圭,50.0,先生,72.0,,台聚,化工,台湾台北,1019,70岁以上,台湾台北
谢卓明,50.0,未知,,,旭隼,电气设备,台湾台北,1019,,台湾台北
徐国忠,50.0,先生,61.0,,江苏国茂,设备制造,江苏常州,1019,61-70岁,江苏常州
徐明星,50.0,先生,39.0,,欧科云链,区块链,北京,1019,31-40岁,北京
杨建良,50.0,先生,55.0,,弘元绿能,光伏设备,江苏无锡,1019,51-60岁,江苏无锡
杨龙忠,50.0,先生,58.0,,比亚迪,汽车、充电电池,广东深圳,1019,51-60岁,广东深圳
姚雄杰,50.0,先生,,龙岩,盛屯,锂电新能源材料,广东深圳,1019,,广东深圳
叶华能,50.0,先生,73.0,梅州,宝丽华,新能源,广东广州,1019,70岁以上,广东广州
叶继跃,50.0,先生,57.0,,三维股份,橡胶制品,浙江台州,1019,51-60岁,浙江台州
俞德超,50.0,先生,60.0,台州,信达生物,生物医药,江苏苏州,1019,61-70岁,江苏苏州
袁金钰,50.0,先生,68.0,,顺络电子,新型电子元件,广东深圳,1019,61-70岁,广东深圳
袁帅,50.0,先生,37.0,,莉莉丝,游戏,上海,1019,31-40岁,上海
袁永彬,50.0,先生,62.0,,伯特利,汽车零部件,安徽芜湖,1019,61-70岁,安徽芜湖
张昊,50.0,先生,37.0,,莉莉丝,游戏,上海,1019,31-40岁,上海
张瑞安,50.0,先生,49.0,,乐鑫科技,芯片,上海浦东,1019,41-50岁,上海浦东
张天瑜,50.0,先生,57.0,,广和通,通信设备,广东深圳,1019,51-60岁,广东深圳
张伟,50.0,先生,67.0,,热威股份,热电元件,浙江杭州,1019,61-70岁,浙江杭州
赵贵钦,50.0,未知,,广东汕头,润本股份,日化用品,广东广州,1019,,广东广州
赵玉乔,50.0,先生,,迁安,九江,钢铁、酒店,河北迁安,1019,,河北迁安
郑效东,50.0,先生,60.0,,东富龙,医疗设备,上海闵行,1019,61-70岁,上海闵行
钟怀军,50.0,先生,60.0,阿坝,紫燕食品,食品,上海闵行,1019,61-70岁,上海闵行
周儒欣,50.0,先生,61.0,北京,北斗星通,卫星导航设备,北京,1019,61-70岁,北京
周文起,50.0,先生,,,华北,铜业、房地产,天津,1019,,天津
周晓峰,50.0,先生,55.0,,宁波华翔,汽车零配件,浙江宁波,1019,51-60岁,浙江宁波
朱兴良,50.0,先生,65.0,苏州,金螳螂,建筑,江苏苏州,1019,61-70岁,江苏苏州
